Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,$/MWh,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,245,14831.25061,13982.44951,10867.6783,38417.99481,2870.489295,2353.641135
,,,,,246,17250.94787,15172.33391,12312.25721,39708.06236,2870.489295,2353.641135
,,,,,247,18786.74694,16857.4013,13209.5615,41557.44978,2870.489295,2475.20383
,,,,,248,18501.61363,16564.92663,13419.60892,41024.7212,2870.489295,2475.20383
,,,,,249,19174.99649,16412.82338,14287.11973,43144.06506,2870.489295,2475.20383
,,,,,250,19583.00297,16656.73593,14932.46392,45398.65087,2870.489295,2475.20383
,,,,,251,20646.10603,17719.59554,16227.144,46291.85476,3281.303511,2475.20383
,,,,,252,20359.74906,17980.01722,14809.70244,44966.29855,3281.303511,2475.20383
,,,,,253,18752.9961,16892.15735,14556.40299,44109.63478,3281.303511,2353.641135
,,,,,254,18978.16056,16377.50528,14874.21377,45235.43424,3281.303511,2353.641135
,,,,,255,18942.30312,16938.3704,14728.85945,45368.3998,3281.303511,2353.641135
,,,,,256,19360.10384,16900.49782,15079.5955,45669.38381,2870.489295,2475.20383
,,,,,257,21740.22337,17377.51515,15386.33833,45458.83972,3124.110348,2619.572125
,,,,,258,21009.78115,18833.89034,15108.77465,44073.62912,3124.110348,2619.572125
,,,,,259,19612.05794,18500.4144,14477.06463,43428.17187,3124.110348,2619.572125
,,,,,260,20189.43696,18164.06774,15009.66876,44264.07891,3124.110348,2619.572125
,,,,,261,19373.68467,17799.37086,14630.74618,44622.89521,3124.110348,2619.572125
,,,,,262,17866.2651,17561.55975,13826.21652,47610.82266,2870.489295,2619.572125
,,,,,263,16326.97958,16077.51346,12668.92803,44535.90796,2870.489295,2619.572125
,,,,,264,14851.90562,15021.0476,11684.22941,41773.4302,2870.489295,2619.572125
,,,,,265,14257.30345,14503.4968,11029.88584,40103.46004,2969.21212,2475.336535
,,,,,266,14124.29446,14263.07748,10830.78365,39335.84728,2969.21212,2349.185688
,,,,,267,14124.29446,14264.29757,10830.78365,38409.11567,2969.21212,2349.185688
,,,,,268,14124.29446,14263.07748,10830.78365,38409.11567,2969.21212,2349.185688
,,,,,269,14657.67887,14302.26737,10830.78365,38409.11567,2969.21212,2349.185688
,,,,,270,17106.45525,15596.0518,12299.44943,39679.21242,2969.21212,2349.185688
,,,,,271,18660.71079,17428.25834,13210.44728,41504.5092,2969.21212,2475.336535
,,,,,272,18372.15093,17110.24494,13423.7002,40978.72009,2969.21212,2475.336535
,,,,,273,19053.62629,16944.86012,14304.4499,43070.45679,2969.21212,2475.336535
,,,,,274,19466.53613,17210.07098,14959.64255,45295.67374,2969.21212,2475.336535
,,,,,275,20542.41508,18365.73889,16262.45596,46177.24251,3406.960462,2475.336535
,,,,,276,20252.61685,18648.90045,14835.00763,44868.95336,3406.960462,2475.336535
,,,,,277,18626.5544,17466.04926,14577.84264,44023.44873,3406.960462,2349.185688
,,,,,278,18854.4248,16906.45806,14900.50345,45134.58322,3406.960462,2349.185688
,,,,,279,18818.1365,17516.29761,14752.93092,45265.81673,3406.960462,2349.185688
,,,,,280,19240.95808,17475.11802,15109.01947,45562.88004,2969.21212,2475.336535
,,,,,281,21642.68253,17993.78823,15420.44344,45355.07856,3239.836425,2624.576824
,,,,,282,20910.46075,19564.88846,15138.64392,43987.9121,3239.836425,2624.576824
,,,,,283,19495.9402,19214.73841,14497.29351,43350.86274,3239.836425,2624.576824
,,,,,284,20080.25785,18849.02215,15038.02559,44175.88103,3239.836425,2624.576824
,,,,,285,19254.70226,18452.48014,14653.32036,44530.0233,3239.836425,2624.576824
,,,,,286,17729.16694,18193.9035,13836.51295,47491.37317,2969.21212,2624.576824
,,,,,287,16171.38295,16580.27112,12661.56333,44444.16916,2969.21212,2624.576824
,,,,,288,14678.5821,15431.55526,11661.83743,41717.6762,2969.21212,2624.576824
,,,,,289,14109.69994,14976.40292,10993.09335,39902.19912,3034.542544,2507.025998
,,,,,290,13972.72396,14734.04994,10780.52379,39114.32214,3034.542544,2378.520865
,,,,,291,13972.72396,14735.6907,10780.52379,38156.70947,3034.542544,2378.520865
,,,,,292,13972.72396,14734.04994,10780.52379,38156.70947,3034.542544,2378.520865
,,,,,293,14515.5445,14773.90067,10780.52379,38156.70947,3034.542544,2378.520865
,,,,,294,16997.77127,16075.86858,12314.17297,39466.75177,3034.542544,2378.520865
,,,,,295,18573.25803,17919.66423,13262.13705,41340.23459,3034.542544,2507.025998
,,,,,296,18280.75643,17599.63933,13484.04329,40800.56517,3034.542544,2507.025998
,,,,,297,18971.54076,17433.20841,14400.53182,42947.52164,3034.542544,2507.025998
,,,,,298,19390.091,17700.09679,15082.31071,45231.48212,3034.542544,2507.025998
,,,,,299,20480.6665,18863.07456,16407.08299,46136.32343,3496.338329,2507.025998
,,,,,300,20186.9096,19148.02718,14952.61839,44793.49675,3496.338329,2507.025998
,,,,,301,18538.63503,17957.69419,14685.01822,43925.67163,3496.338329,2378.520865
,,,,,302,18769.61829,17394.56346,15020.77188,45066.13896,3496.338329,2378.520865
,,,,,303,18732.83412,18008.26037,14867.21118,45200.83692,3496.338329,2378.520865
,,,,,304,19161.43156,17966.82031,15237.74901,45505.7424,3034.542544,2507.025998
,,,,,305,21588.00856,18488.77123,15561.80986,45292.45517,3320.346677,2658.760649
,,,,,306,20853.73971,20068.90479,15268.57555,43889.19686,3320.346677,2658.760649
,,,,,307,19419.89668,19717.44419,14601.20059,43235.33004,3320.346677,2658.760649
,,,,,308,20012.19616,19349.4147,15163.87436,44082.12799,3320.346677,2658.760649
,,,,,309,19175.36355,18950.36447,14763.55866,44445.61926,3320.346677,2658.760649
,,,,,310,17628.98926,18690.15228,13913.60705,47460.12954,3034.542544,2658.760649
